Category: All categories

Day,Texas: (United States),Florida: (United States),Puerto Rico: (United States)
2017-07-01,27,22,2
2017-07-02,27,23,2
2017-07-03,29,24,2
2017-07-04,27,22,2
2017-07-05,30,24,2
2017-07-06,29,25,2
2017-07-07,29,23,2
2017-07-08,27,23,2
2017-07-09,27,24,2
2017-07-10,29,25,2
2017-07-11,28,24,2
2017-07-12,28,25,2
2017-07-13,27,25,2
2017-07-14,28,25,2
2017-07-15,28,25,2
2017-07-16,27,24,2
2017-07-17,29,25,2
2017-07-18,29,24,2
2017-07-19,28,24,2
2017-07-20,28,24,2
2017-07-21,28,24,1
2017-07-22,27,23,2
2017-07-23,26,23,2
2017-07-24,30,25,2
2017-07-25,31,24,2
2017-07-26,30,24,2
2017-07-27,29,24,2
2017-07-28,29,24,2
2017-07-29,28,22,2
2017-07-30,27,23,2
2017-07-31,30,25,2
2017-08-01,30,24,2
2017-08-02,29,24,2
2017-08-03,29,24,2
2017-08-04,29,23,2
2017-08-05,28,22,2
2017-08-06,27,23,2
2017-08-07,29,24,2
2017-08-08,30,24,2
2017-08-09,29,23,2
2017-08-10,28,23,2
2017-08-11,28,22,2
2017-08-12,27,22,1
2017-08-13,27,22,1
2017-08-14,28,23,2
2017-08-15,28,23,2
2017-08-16,28,23,2
2017-08-17,29,23,2
2017-08-18,28,22,1
2017-08-19,28,23,1
2017-08-20,28,24,1
2017-08-21,34,28,2
2017-08-22,29,22,2
2017-08-23,29,22,2
2017-08-24,37,27,2
2017-08-25,46,22,1
2017-08-26,57,21,1
2017-08-27,51,20,1
2017-08-28,62,22,1
2017-08-29,59,22,1
2017-08-30,54,22,1
2017-08-31,52,23,2
2017-09-01,44,24,2
2017-09-02,44,34,1
2017-09-03,37,39,2
2017-09-04,38,26,2
2017-09-05,33,43,5
2017-09-06,30,52,12
2017-09-07,29,62,11
2017-09-08,28,70,4
2017-09-09,31,87,3
2017-09-10,27,100,2
2017-09-11,29,69,2
2017-09-12,28,37,1
2017-09-13,28,31,2
2017-09-14,28,28,1
2017-09-15,27,25,1
2017-09-16,32,30,1
2017-09-17,36,24,2
2017-09-18,28,24,2
2017-09-19,27,23,5
2017-09-20,26,22,18
2017-09-21,27,22,18
2017-09-22,27,22,13
2017-09-23,32,24,11
2017-09-24,26,25,8
2017-09-25,26,21,9
2017-09-26,27,20,14
2017-09-27,27,21,14
2017-09-28,27,20,12
2017-09-29,29,20,11
2017-09-30,29,25,16
2017-10-01,30,21,14
2017-10-02,26,20,8
2017-10-03,25,20,9
2017-10-04,26,21,9
2017-10-05,26,21,6
2017-10-06,26,21,5
2017-10-07,30,28,5
2017-10-08,31,22,4
2017-10-09,27,22,4
2017-10-10,34,22,4
2017-10-11,26,21,3
2017-10-12,26,22,5
