Date,Combined
2017080120170801,0.0915
2017080220170802,0.0826
2017080320170803,0.2101
2017080420170804,0.0473
2017080520170805,0.1052
2017080620170806,0.0907
2017080720170807,0.1035
2017080820170808,0.0613
2017080920170809,0.0463
2017081020170810,0.0401
2017081120170811,0.0398
2017081220170812,0.0406
2017081320170813,0.0199
2017081420170814,0.0434
2017081520170815,0.0678
2017081620170816,0.0609
2017081720170817,0.0591
2017081820170818,0.0441
2017081920170819,0.2067
2017082020170820,0.0935
2017082120170821,0.0443
2017082220170822,0.0474
2017082320170823,0.0537
2017082420170824,0.0628
2017082520170825,0.0492
2017082620170826,0.0378
2017082720170827,0.0646
2017082820170828,0.0339
2017082920170829,0.0326
2017083020170830,0.0424
2017083120170831,0.0444
2017090120170901,0.0665
2017090220170902,0.0787
2017090320170903,0.0463
2017090420170904,0.1194
2017090520170905,0.5214
2017090620170906,1.2445
2017090720170907,1.8724
2017090820170908,2.7262
2017090920170909,2.8678
2017091020170910,2.7176
2017091120170911,2.7375
2017091220170912,1.7260
2017091320170913,0.8411
2017091420170914,0.9823
2017091520170915,0.3160
2017091620170916,0.2361
2017091720170917,0.2813
2017091820170918,0.1676
2017091920170919,0.0806
2017092020170920,0.1129
2017092120170921,0.1122
2017092220170922,0.0811
2017092320170923,0.0675
2017092420170924,0.0649
2017092520170925,0.0599
2017092620170926,0.1084
2017092720170927,0.1007
2017092820170928,0.1133
2017092920170929,0.1634
2017093020170930,0.2479
2017100120171001,0.2524
2017100220171002,0.1289
2017100320171003,0.1451
2017100420171004,0.0844
2017100520171005,0.1014
2017100620171006,0.1360
2017100720171007,0.1651
2017100820171008,0.1959
